Player,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Artem Anisimov,OTT,C,16,5,1,6,-7,4,29,0,1,0,0,0,3,8
Kyle Turris,NSH,C,25,5,8,13,-4,8,40,2,2,1,0,0,5,6
Kevin Shattenkirk,TB,D,31,5,17,22,10,18,73,0,1,5,0,0,27,31
Shayne Gostisbehere,PHI,D,30,5,6,11,-3,16,49,1,1,4,0,0,13,24
Pavel Buchnevich,NYR,LW,33,5,14,19,-1,10,57,0,1,3,0,0,33,13
Jesper Fast,NYR,RW,32,5,7,12,6,12,34,0,0,0,1,0,53,18
Derek Ryan,CGY,C,35,5,12,17,8,4,55,0,0,2,0,1,8,17
Alex Iafallo,LA,C,35,5,11,16,-3,10,66,2,1,2,0,0,23,21
Ilya Mikheyev,TOR,RW,34,5,13,18,7,4,83,1,0,0,0,0,26,13
Cody Glass,VGK,C,32,4,7,11,-7,6,42,0,1,5,0,0,12,5
Vinnie Hinostroza,ARI,C,35,4,10,14,6,6,58,0,0,1,0,0,25,12
Jordan Greenway,MIN,LW,32,4,8,12,-1,25,43,1,0,1,0,0,56,16
Wayne Simmonds,NJ,RW,32,4,8,12,-11,30,70,0,3,1,0,0,74,14
Brian Boyle,FLA,C,24,4,4,8,-3,13,36,0,0,0,0,0,42,23
Michael Frolik,CGY,LW,33,4,4,8,-11,20,37,1,0,0,0,0,15,9
Jason Spezza,TOR,C,23,4,8,12,-5,12,30,0,1,2,0,0,7,10
Mikael Granlund,NSH,C,28,4,8,12,-2,12,64,0,0,1,0,0,18,22
Johan Larsson,BUF,C,31,4,8,12,7,16,33,0,0,0,0,0,43,18
Vincent Trocheck,FLA,C,26,4,11,15,3,16,62,0,0,2,1,0,38,19
Scott Mayfield,NYI,D,31,4,5,9,5,17,52,1,0,0,0,1,53,50
Adam Lowry,WPG,LW,31,4,3,7,2,16,40,1,0,0,1,0,84,16
Nick Cousins,MON,C,27,4,6,10,1,4,56,0,2,1,0,0,44,15
Tim Schaller,VAN,C,33,4,0,4,-8,10,36,0,0,0,1,0,30,17
Nikolay Prokhorkin,LA,LW,15,4,3,7,3,2,18,1,0,0,0,0,15,2
Carson Soucy,MIN,D,31,4,4,8,16,6,30,1,0,0,1,0,36,26
Ethan Bear,EDM,D,36,4,6,10,-6,20,42,1,1,0,0,0,34,48
Tomas Nosek,VGK,LW,33,4,2,6,1,8,46,0,0,0,1,0,38,16
Casey Cizikas,NYI,C,26,4,4,8,8,16,38,1,0,0,1,2,79,23
Mathieu Joseph,TB,RW,30,4,3,7,-2,14,28,0,0,0,0,1,35,8
Robert Thomas,STL,C,30,4,12,16,7,6,38,2,0,0,0,0,6,6
Eric Robinson,CLS,LW,13,4,3,7,4,4,16,2,0,0,0,0,18,3
Travis Zajac,NJ,C,32,4,6,10,-2,12,35,0,0,0,0,0,34,14
